school,district,city,enroll12,number_taker,reading,english,math,science
Renaissance Arts Academy,Los Angeles Unified,Los Angeles,44.0,40.0,23.0,24.0,20.0,21.0
Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,18.0,20.0,20.0,20.0,21.0
Rialto High,Rialto Unified,San Bernardino,611.0,93.0,19.0,18.0,20.0,20.0
Richmond High,West Contra Costa Unified,Contra Costa,386.0,70.0,18.0,16.0,17.0,17.0
Ridgeview High,Kern High,Kern,666.0,54.0,19.0,17.0,18.0,19.0
Rim of the World Senior High,Rim of the World Unified,San Bernardino,209.0,26.0,25.0,24.0,22.0,24.0
Rio Americano High,San Juan Unified,Sacramento,385.0,84.0,25.0,26.0,25.0,24.0
Rio Linda High,Twin Rivers Unified,Sacramento,318.0,28.0,20.0,19.0,20.0,20.0
Rio Mesa High,Oxnard Union High,Ventura,549.0,37.0,22.0,22.0,22.0,22.0
Rio Vista High,River Delta Joint Unified,Sacramento,106.0,22.0,19.0,19.0,18.0,19.0
Ripon High,Ripon Unified,San Joaquin,190.0,37.0,25.0,23.0,23.0,23.0
River City High,Washington Unified,Yolo,476.0,54.0,21.0,19.0,20.0,20.0
River Valley Charter,Lakeside Union Elementary,San Diego,50.0,15.0,28.0,26.0,26.0,27.0
River Valley High,Yuba City Unified,Sutter,435.0,59.0,23.0,22.0,22.0,23.0
Riverdale High,Riverdale Joint Unified,Fresno,124.0,50.0,16.0,15.0,18.0,18.0
Riverside Preparatory,Oro Grande,San Bernardino,117.0,17.0,18.0,18.0,17.0,19.0
Riverside STEM Academy,Riverside Unified,Riverside,53.0,22.0,29.0,28.0,25.0,25.0
Robert F. Kennedy High,Delano Joint Union High,Kern,304.0,54.0,20.0,18.0,20.0,20.0
Rocklin High,Rocklin Unified,Placer,499.0,164.0,25.0,25.0,25.0,24.0
Ronald E. McNair High,Lodi Unified,San Joaquin,438.0,62.0,19.0,18.0,20.0,19.0
Roosevelt High,Fresno Unified,Fresno,447.0,18.0,16.0,14.0,16.0,17.0
Roseland Charter,Roseland,Sonoma,147.0,89.0,17.0,16.0,18.0,18.0
Rosemead High,El Monte Union High,Los Angeles,511.0,51.0,26.0,25.0,25.0,24.0
Rosemont High,Sacramento City Unified,Sacramento,300.0,32.0,21.0,19.0,20.0,20.0
Roseville High,Roseville Joint Union High,Placer,416.0,110.0,23.0,22.0,22.0,22.0
Royal High,Simi Valley Unified,Ventura,456.0,55.0,25.0,25.0,24.0,25.0
Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,133.0,25.0,26.0,25.0,25.0
Rubidoux High,Jurupa Unified,Riverside,350.0,74.0,17.0,17.0,17.0,18.0
S.F. International High,San Francisco Unified,San Francisco,100.0,43.0,13.0,12.0,16.0,15.0
Sacramento Charter High,Sacramento City Unified,Sacramento,151.0,144.0,17.0,16.0,17.0,17.0
Saddleback High,Santa Ana Unified,Orange,383.0,109.0,18.0,16.0,19.0,18.0
Sage Creek High,Carlsbad Unified,San Diego,307.0,103.0,27.0,28.0,27.0,26.0
Saint Helena High,Saint Helena Unified,Napa,121.0,28.0,25.0,26.0,22.0,23.0
Salinas High,Salinas Union High,Monterey,646.0,137.0,22.0,21.0,21.0,21.0
Samueli Academy,Orange County Department of Education,Orange,119.0,26.0,21.0,21.0,20.0,20.0
San Benito High,San Benito High,San Benito,744.0,118.0,21.0,20.0,21.0,21.0
San Bernardino High,San Bernardino City Unified,San Bernardino,321.0,71.0,20.0,18.0,19.0,19.0
San Clemente High,Capistrano Unified,Orange,808.0,310.0,26.0,26.0,25.0,25.0
San Diego International Studies,San Diego Unified,San Diego,286.0,99.0,25.0,24.0,23.0,24.0
San Diego Science and Technology,San Diego Unified,San Diego,157.0,19.0,21.0,20.0,19.0,20.0
San Dieguito HS Academy,San Dieguito Union High,San Diego,478.0,217.0,27.0,27.0,26.0,25.0
San Dimas High,Bonita Unified,Los Angeles,324.0,42.0,24.0,23.0,24.0,23.0
San Fernando Senior High,Los Angeles Unified,Los Angeles,458.0,75.0,18.0,17.0,18.0,18.0
San Gabriel High,Alhambra Unified,Los Angeles,527.0,54.0,21.0,20.0,21.0,21.0
San Gorgonio High,San Bernardino City Unified,San Bernardino,450.0,24.0,19.0,19.0,19.0,20.0
San Jacinto High,San Jacinto Unified,Riverside,574.0,30.0,19.0,19.0,18.0,18.0
San Juan High,San Juan Unified,Sacramento,170.0,32.0,19.0,17.0,18.0,18.0
San Juan Hills High,Capistrano Unified,Orange,580.0,199.0,26.0,26.0,25.0,25.0
San Leandro High,San Leandro Unified,Alameda,662.0,78.0,22.0,21.0,21.0,22.0
San Lorenzo High,San Lorenzo Unified,Alameda,346.0,48.0,20.0,19.0,20.0,19.0
San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139.0,20.0,26.0,26.0,23.0,25.0
San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370.0,139.0,26.0,25.0,25.0,24.0
San Marcos High,San Marcos Unified,San Diego,748.0,244.0,25.0,24.0,23.0,24.0
San Marcos Senior High,Santa Barbara Unified,Santa Barbara,535.0,106.0,25.0,25.0,24.0,25.0
San Marin High,Novato Unified,Marin,266.0,107.0,26.0,25.0,25.0,24.0
San Marino High,San Marino Unified,Los Angeles,269.0,95.0,28.0,29.0,29.0,27.0
San Mateo High,San Mateo Union High,San Mateo,414.0,73.0,28.0,28.0,27.0,27.0
San Pasqual High,Escondido Union High,San Diego,518.0,98.0,22.0,20.0,21.0,21.0
San Pedro Senior High,Los Angeles Unified,Los Angeles,480.0,49.0,21.0,20.0,20.0,20.0
San Rafael High,San Rafael City High,Marin,296.0,84.0,24.0,23.0,23.0,22.0
San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502.0,282.0,27.0,27.0,26.0,26.0
San Ysidro High,Sweetwater Union High,San Diego,702.0,139.0,18.0,17.0,19.0,18.0
Sanger High,Sanger Unified,Fresno,734.0,61.0,21.0,19.0,20.0,20.0
Santa Ana High,Santa Ana Unified,Orange,648.0,85.0,17.0,16.0,18.0,18.0
Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,126.0,25.0,24.0,23.0,23.0
Santa Clara High,Santa Clara Unified,Santa Clara,430.0,53.0,26.0,26.0,26.0,25.0
Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,50.0,26.0,25.0,26.0,25.0
Santa Fe High,Whittier Union High,Los Angeles,521.0,114.0,21.0,20.0,20.0,20.0
Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588.0,93.0,18.0,17.0,19.0,19.0
Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715.0,244.0,27.0,26.0,25.0,25.0
Santa Paula High,Santa Paula Unified,Ventura,372.0,126.0,20.0,18.0,19.0,20.0
Santa Rosa Academy,Menifee Union Elementary,Riverside,113.0,18.0,24.0,24.0,23.0,23.0
Santa Rosa High,Santa Rosa High,Sonoma,458.0,87.0,27.0,25.0,25.0,24.0
Santa Susana High,Simi Valley Unified,Ventura,252.0,26.0,28.0,27.0,25.0,26.0
Santa Teresa High,East Side Union High,Santa Clara,529.0,67.0,26.0,26.0,25.0,25.0
Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,50.0,26.0,24.0,22.0,22.0
Santana High,Grossmont Union High,San Diego,420.0,47.0,21.0,21.0,23.0,21.0
Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,24.0,18.0,16.0,17.0,17.0
Santiago High,Garden Grove Unified,Orange,533.0,29.0,18.0,18.0,20.0,20.0
Santiago High,Corona-Norco Unified,Riverside,813.0,179.0,23.0,22.0,22.0,22.0
Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321.0,121.0,31.0,32.0,31.0,30.0
Saugus High,William S. Hart Union High,Los Angeles,546.0,121.0,25.0,23.0,24.0,23.0
Savanna High,Anaheim Union High,Orange,482.0,42.0,20.0,20.0,19.0,19.0
Schurr High,Montebello Unified,Los Angeles,619.0,40.0,20.0,21.0,21.0,21.0
Science Technology Engineering Arts and Mathematics at Legacy High School Complex,Los Angeles Unified,Los Angeles,138.0,46.0,19.0,18.0,19.0,18.0
Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,60.0,27.0,26.0,25.0,25.0
Scripps Ranch High,San Diego Unified,San Diego,542.0,203.0,28.0,28.0,27.0,27.0
Seaside High,Monterey Peninsula Unified,Monterey,276.0,34.0,21.0,19.0,20.0,20.0
Segerstrom High,Santa Ana Unified,Orange,457.0,480.0,17.0,16.0,18.0,17.0
Sequoia High,Sequoia Union High,San Mateo,486.0,122.0,24.0,23.0,23.0,23.0
Serra High,San Diego Unified,San Diego,369.0,35.0,23.0,23.0,23.0,23.0
Serrano High,Snowline Joint Unified,San Bernardino,444.0,56.0,22.0,21.0,23.0,22.0
Shadow Hills High,Desert Sands Unified,Riverside,528.0,34.0,18.0,17.0,17.0,18.0
Shafter High,Kern High,Kern,372.0,44.0,21.0,19.0,20.0,20.0
Shasta High,Shasta Union High,Shasta,328.0,46.0,27.0,26.0,25.0,25.0
Sheldon High,Elk Grove Unified,Sacramento,614.0,82.0,23.0,21.0,22.0,22.0
Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232.0,47.0,25.0,25.0,23.0,24.0
Sierra High,Manteca Unified,San Joaquin,333.0,35.0,24.0,23.0,22.0,22.0
Sierra Vista High,Baldwin Park Unified,Los Angeles,429.0,108.0,19.0,18.0,19.0,19.0
Silver Creek High,East Side Union High,Santa Clara,592.0,50.0,25.0,25.0,26.0,25.0
Silverado High,Victor Valley Union High,San Bernardino,546.0,71.0,19.0,18.0,17.0,19.0
Simi Valley High,Simi Valley Unified,Ventura,537.0,75.0,23.0,24.0,23.0,23.0
Sir Francis Drake High,Tamalpais Union High,Marin,308.0,84.0,28.0,28.0,25.0,25.0
Skyline High,Oakland Unified,Alameda,398.0,66.0,22.0,21.0,20.0,20.0
SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,86.0,34.0,23.0,22.0,22.0,21.0
Soledad High,Soledad Unified,Monterey,374.0,69.0,18.0,16.0,17.0,18.0
Sonoma Valley High,Sonoma Valley Unified,Sonoma,279.0,47.0,25.0,24.0,23.0,23.0
Sonora High,Fullerton Joint Union High,Orange,410.0,68.0,24.0,23.0,23.0,23.0
Soquel High,Santa Cruz City High,Santa Cruz,269.0,81.0,25.0,23.0,22.0,22.0
South East High,Los Angeles Unified,Los Angeles,368.0,152.0,19.0,18.0,17.0,18.0
South El Monte High,El Monte Union High,Los Angeles,278.0,57.0,19.0,19.0,19.0,20.0
South Gate Senior High,Los Angeles Unified,Los Angeles,528.0,224.0,18.0,17.0,17.0,18.0
South High,Kern High,Kern,508.0,31.0,18.0,18.0,20.0,19.0
South High,Torrance Unified,Los Angeles,550.0,139.0,25.0,25.0,26.0,25.0
South Hills High,Covina-Valley Unified,Los Angeles,401.0,17.0,23.0,23.0,22.0,23.0
South Pasadena Senior High,South Pasadena Unified,Los Angeles,369.0,93.0,28.0,27.0,27.0,27.0
South San Francisco High,South San Francisco Unified,San Mateo,292.0,20.0,22.0,23.0,25.0,23.0
South Tahoe High,Lake Tahoe Unified,El Dorado,239.0,54.0,23.0,22.0,22.0,22.0
Southwest High,Central Union High,Imperial,513.0,116.0,18.0,17.0,19.0,19.0
Southwest Senior High,Sweetwater Union High,San Diego,482.0,73.0,18.0,17.0,18.0,19.0
Stagg Senior High,Stockton Unified,San Joaquin,368.0,18.0,19.0,18.0,19.0,19.0
State of California,State of California,State of California,489650.0,82668.0,22.0,22.0,22.0,22.0
Steele Canyon High,Grossmont Union High,San Diego,511.0,125.0,24.0,23.0,23.0,24.0
STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,124.0,44.0,19.0,19.0,18.0,19.0
Stockdale High,Kern High,Kern,550.0,99.0,25.0,25.0,24.0,23.0
Stockton Early College Academy,Stockton Unified,San Joaquin,99.0,72.0,23.0,21.0,21.0,20.0
Sultana High,Hesperia Unified,San Bernardino,429.0,21.0,21.0,19.0,21.0,21.0
Summit High,Fontana Unified,San Bernardino,556.0,512.0,17.0,15.0,17.0,17.0
Summit Preparatory Charter High,Sequoia Union High,San Mateo,95.0,43.0,21.0,21.0,20.0,22.0
Summit Public School: Rainier,East Side Union High,Santa Clara,105.0,38.0,20.0,20.0,20.0,20.0
Summit Public School: Shasta,Jefferson Union High,San Mateo,101.0,49.0,23.0,22.0,21.0,22.0
Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,96.0,31.0,22.0,22.0,21.0,22.0
Sun Valley Magnet,Los Angeles Unified,Los Angeles,71.0,29.0,18.0,17.0,19.0,19.0
Sunny Hills High,Fullerton Joint Union High,Orange,563.0,119.0,26.0,27.0,27.0,26.0
Sunnyside High,Fresno Unified,Fresno,620.0,120.0,18.0,17.0,17.0,18.0
Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,230.0,48.0,16.0,15.0,16.0,15.0
Sutter High,Sutter Union High,Sutter,171.0,22.0,25.0,22.0,24.0,23.0
Sweetwater High,Sweetwater Union High,San Diego,732.0,96.0,20.0,19.0,19.0,20.0
Sylmar Charter High,Los Angeles Unified,Los Angeles,361.0,45.0,20.0,18.0,19.0,19.0
Synergy Quantum Academy,Los Angeles Unified,Los Angeles,125.0,15.0,19.0,19.0,20.0,19.0
Taft Charter High,Los Angeles Unified,Los Angeles,498.0,80.0,24.0,23.0,22.0,23.0
Taft Union High,Taft Union High,Kern,204.0,35.0,21.0,18.0,19.0,19.0
Tahoe Truckee High,Tahoe-Truckee Unified,Placer,173.0,45.0,26.0,26.0,25.0,25.0
Tahquitz High,Hemet Unified,Riverside,386.0,28.0,19.0,17.0,18.0,19.0
Tamalpais High,Tamalpais Union High,Marin,376.0,145.0,29.0,29.0,26.0,27.0
Technology High,Cotati-Rohnert Park Unified,Sonoma,76.0,24.0,27.0,27.0,26.0,25.0
Temecula Preparatory,Temecula Valley Unified,Riverside,78.0,20.0,26.0,25.0,22.0,23.0
Temecula Valley High,Temecula Valley Unified,Riverside,642.0,215.0,23.0,22.0,22.0,23.0
Temescal Canyon High,Lake Elsinore Unified,Riverside,496.0,63.0,21.0,20.0,20.0,20.0
Temple City High,Temple City Unified,Los Angeles,492.0,90.0,27.0,27.0,27.0,26.0
Templeton High,Templeton Unified,San Luis Obispo,171.0,69.0,24.0,24.0,22.0,23.0
Terra Linda High,San Rafael City High,Marin,300.0,56.0,25.0,24.0,23.0,23.0
Terra Nova High,Jefferson Union High,San Mateo,208.0,23.0,27.0,26.0,25.0,26.0
Tesoro High,Capistrano Unified,Orange,668.0,259.0,26.0,26.0,25.0,25.0
The O'Farrell Charter,San Diego Unified,San Diego,125.0,97.0,19.0,18.0,19.0,20.0
Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306.0,68.0,16.0,15.0,16.0,16.0
Thomas Downey High,Modesto City High,Stanislaus,479.0,69.0,21.0,20.0,21.0,21.0
Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,116.0,50.0,15.0,14.0,16.0,16.0
Thousand Oaks High,Conejo Valley Unified,Ventura,528.0,119.0,27.0,26.0,26.0,26.0
Tokay High,Lodi Unified,San Joaquin,490.0,92.0,21.0,20.0,22.0,22.0
Torrance High,Torrance Unified,Los Angeles,509.0,105.0,24.0,23.0,23.0,23.0
Torrey Pines High,San Dieguito Union High,San Diego,627.0,355.0,28.0,28.0,28.0,28.0
Trabuco Hills High,Saddleback Valley Unified,Orange,669.0,152.0,26.0,26.0,26.0,25.0
Tracy High,Tracy Joint Unified,San Joaquin,455.0,60.0,24.0,24.0,23.0,23.0
Tranquillity High,Golden Plains Unified,Fresno,120.0,19.0,15.0,14.0,15.0,15.0
Trinity High,Trinity Alps Unified,Trinity,91.0,15.0,24.0,24.0,23.0,23.0
Troy High,Fullerton Joint Union High,Orange,624.0,178.0,30.0,30.0,30.0,29.0
Tulare Union High,Tulare Joint Union High,Tulare,382.0,66.0,21.0,19.0,21.0,20.0
Tulare Western High,Tulare Joint Union High,Tulare,417.0,93.0,20.0,18.0,18.0,19.0
Tulelake High,Tulelake Basin Joint Unified,Modoc,25.0,15.0,18.0,15.0,17.0,18.0
Turlock High,Turlock Unified,Stanislaus,543.0,53.0,24.0,22.0,22.0,22.0
Tustin High,Tustin Unified,Orange,577.0,164.0,21.0,18.0,20.0,20.0
UCLA Community K-12,Los Angeles Unified,Los Angeles,91.0,21.0,18.0,16.0,18.0,18.0
Ukiah High,Ukiah Unified,Mendocino,365.0,22.0,25.0,23.0,23.0,22.0
Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,432.0,41.0,21.0,21.0,21.0,21.0
Union Mine High,El Dorado Union High,El Dorado,259.0,48.0,24.0,23.0,22.0,22.0
University City High,San Diego Unified,San Diego,459.0,115.0,27.0,27.0,26.0,26.0
University High,Fresno Unified,Fresno,120.0,86.0,28.0,28.0,25.0,26.0
University High,Irvine Unified,Orange,633.0,233.0,29.0,29.0,29.0,28.0
University High School Charter,Los Angeles Unified,Los Angeles,336.0,58.0,21.0,21.0,20.0,20.0
University Preparatory,Shasta Union High,Shasta,127.0,24.0,28.0,27.0,27.0,27.0
University Preparatory,Victor Valley Union High,San Bernardino,164.0,43.0,22.0,22.0,22.0,21.0
University Preparatory Academy Charter,Santa Clara County Office of Education,Santa Clara,99.0,33.0,27.0,28.0,27.0,27.0
University Preparatory Value High,Los Angeles Unified,Los Angeles,113.0,34.0,18.0,16.0,18.0,18.0
Upland High,Upland Unified,San Bernardino,764.0,62.0,21.0,21.0,21.0,21.0
Upper Lake High,Upper Lake Unified,Lake,74.0,18.0,18.0,16.0,17.0,17.0
Vacaville High,Vacaville Unified,Solano,431.0,58.0,22.0,22.0,22.0,22.0
Valencia High,William S. Hart Union High,Los Angeles,714.0,163.0,25.0,25.0,25.0,24.0
Valencia High,Placentia-Yorba Linda Unified,Orange,663.0,173.0,23.0,22.0,24.0,23.0
Valhalla High,Grossmont Union High,San Diego,565.0,85.0,25.0,24.0,24.0,24.0
Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,262.0,30.0,21.0,20.0,19.0,20.0
Valley Center High,Valley Center-Pauma Unified,San Diego,267.0,50.0,22.0,21.0,21.0,22.0
Valley High,Elk Grove Unified,Sacramento,369.0,70.0,19.0,18.0,19.0,20.0
Valley High,Santa Ana Unified,Orange,466.0,66.0,18.0,17.0,18.0,18.0
Valley International Preparatory High,Los Angeles Unified,Los Angeles,71.0,20.0,26.0,22.0,20.0,22.0
Valley View High,Moreno Valley Unified,Riverside,595.0,36.0,22.0,21.0,21.0,21.0
Valor Academy High,Los Angeles Unified,Los Angeles,122.0,82.0,15.0,15.0,17.0,17.0
Van Nuys Senior High,Los Angeles Unified,Los Angeles,535.0,97.0,26.0,26.0,25.0,25.0
Vanden High,Travis Unified,Solano,367.0,40.0,25.0,23.0,23.0,24.0
Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157.0,35.0,18.0,17.0,17.0,18.0
Venice Senior High,Los Angeles Unified,Los Angeles,398.0,96.0,23.0,22.0,22.0,22.0
Ventura High,Ventura Unified,Ventura,480.0,88.0,24.0,22.0,22.0,22.0
Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,22.0,18.0,17.0,17.0,18.0
Victor Valley High,Victor Valley Union High,San Bernardino,425.0,39.0,18.0,17.0,19.0,18.0
Villa Park High,Orange Unified,Orange,584.0,85.0,25.0,26.0,25.0,25.0
Vintage High,Napa Valley Unified,Napa,396.0,59.0,22.0,20.0,21.0,21.0
Vista del Lago High,Folsom-Cordova Unified,Sacramento,441.0,107.0,26.0,27.0,26.0,26.0
Vista del Lago High,Moreno Valley Unified,Riverside,450.0,121.0,18.0,17.0,18.0,18.0
Vista High,Vista Unified,San Diego,545.0,60.0,23.0,21.0,21.0,22.0
Vista Murrieta High,Murrieta Valley Unified,Riverside,884.0,165.0,24.0,22.0,23.0,22.0
Wallenberg (Raoul) Traditional High,San Francisco Unified,San Francisco,168.0,33.0,23.0,23.0,22.0,23.0
Walnut High,Walnut Valley Unified,Los Angeles,666.0,128.0,27.0,27.0,28.0,27.0
Warren (Earl) High,Downey Unified,Los Angeles,845.0,48.0,23.0,23.0,23.0,22.0
Wasco High,Wasco Union High,Kern,391.0,71.0,19.0,18.0,20.0,20.0
Washington (George) High,San Francisco Unified,San Francisco,489.0,94.0,21.0,21.0,22.0,22.0
Washington High,Washington Unified,Fresno,240.0,121.0,16.0,15.0,16.0,16.0
Washington High,Fremont Unified,Alameda,457.0,65.0,28.0,28.0,28.0,27.0
Watsonville High,Pajaro Valley Unified,Santa Cruz,455.0,110.0,17.0,16.0,18.0,18.0
WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,182.0,35.0,18.0,17.0,18.0,18.0
West Campus,Sacramento City Unified,Sacramento,194.0,46.0,25.0,24.0,23.0,23.0
West Covina High,West Covina Unified,Los Angeles,514.0,25.0,24.0,24.0,24.0,23.0
West High,Kern High,Kern,537.0,51.0,20.0,18.0,20.0,20.0
West High,Torrance Unified,Los Angeles,495.0,123.0,25.0,26.0,25.0,25.0
West Hills High,Grossmont Union High,San Diego,421.0,49.0,25.0,24.0,23.0,23.0
West Ranch High,William S. Hart Union High,Los Angeles,655.0,182.0,27.0,27.0,26.0,26.0
West Valley High,Anderson Union High,Shasta,214.0,23.0,24.0,21.0,21.0,23.0
West Valley High,Hemet Unified,Riverside,437.0,72.0,19.0,18.0,18.0,19.0
Western Center Academy,Hemet Unified,Riverside,67.0,21.0,26.0,25.0,23.0,24.0
Western High,Anaheim Union High,Orange,498.0,54.0,19.0,18.0,20.0,20.0
Western Sierra Collegiate Academy,Rocklin Unified,Placer,119.0,32.0,26.0,24.0,21.0,24.0
Westlake High,Conejo Valley Unified,Ventura,547.0,146.0,27.0,28.0,26.0,26.0
Westminster High,Huntington Beach Union High,Orange,628.0,48.0,22.0,21.0,23.0,22.0
Westmont High,Campbell Union High,Santa Clara,354.0,71.0,28.0,28.0,25.0,26.0
Westmoor High,Jefferson Union High,San Mateo,395.0,28.0,24.0,25.0,25.0,24.0
Westview High,Poway Unified,San Diego,596.0,212.0,28.0,29.0,28.0,27.0
Wheatland Union High,Wheatland Union High,Yuba,166.0,18.0,23.0,21.0,21.0,22.0
Whitney (Gretchen) High,ABC Unified,Los Angeles,165.0,55.0,31.0,31.0,30.0,29.0
Whitney High,Rocklin Unified,Placer,458.0,112.0,26.0,25.0,25.0,25.0
Whittier High,Whittier Union High,Los Angeles,432.0,60.0,18.0,18.0,19.0,18.0
Will C. Wood High,Vacaville Unified,Solano,329.0,30.0,24.0,23.0,24.0,23.0
William C. Overfelt High,East Side Union High,Santa Clara,339.0,106.0,17.0,16.0,18.0,18.0
William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,52.0,20.0,18.0,19.0,19.0
William S. Hart High,William S. Hart Union High,Los Angeles,540.0,110.0,26.0,25.0,24.0,24.0
Willow Glen High,San Jose Unified,Santa Clara,407.0,55.0,26.0,25.0,24.0,25.0
Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,34.0,18.0,18.0,18.0,18.0
Wilson High,Long Beach Unified,Los Angeles,818.0,75.0,24.0,23.0,22.0,22.0
Windsor High,Windsor Unified,Sonoma,394.0,116.0,23.0,22.0,21.0,22.0
Wonderful College Prep Academy,Kern County Office of Education,Kern,128.0,126.0,18.0,18.0,18.0,18.0
Woodbridge High,Irvine Unified,Orange,616.0,174.0,27.0,27.0,27.0,26.0
Woodcreek High,Roseville Joint Union High,Placer,537.0,132.0,25.0,24.0,24.0,25.0
Woodlake High,Woodlake Unified,Tulare,151.0,30.0,18.0,18.0,19.0,18.0
Woodland Senior High,Woodland Joint Unified,Yolo,343.0,59.0,19.0,18.0,18.0,19.0
Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,317.0,68.0,18.0,17.0,17.0,18.0
Woodside High,Sequoia Union High,San Mateo,441.0,106.0,24.0,23.0,23.0,23.0
Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,271.0,18.0,23.0,21.0,22.0,22.0
Yorba Linda High,Placentia-Yorba Linda Unified,Orange,448.0,104.0,25.0,24.0,25.0,24.0
Yosemite High,Yosemite Unified,Madera,135.0,33.0,22.0,21.0,22.0,22.0
Yreka High,Yreka Union High,Siskiyou,138.0,38.0,23.0,20.0,21.0,21.0
Yuba City High,Yuba City Unified,Sutter,394.0,56.0,23.0,21.0,22.0,22.0
Yucaipa High,Yucaipa-Calimesa Joint Unified,San Bernardino,628.0,61.0,24.0,22.0,22.0,22.0
