school,number_applicants,accept_rate,sat_25_75,act_25_75,act_25th,act_75th,sat_25th,sat_75th
Stanford University,47452,4.3,1440-1570,32-35,32.0,35.0,1440.0,1570.0
Harvard College,42749,4.7,1460-1580,33-35,33.0,35.0,1460.0,1580.0
Princeton University,35370,5.5,1440-1570,32-35,32.0,35.0,1440.0,1570.0
Columbia University,40203,5.5,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Yale University,36844,6.1,1460-1570,33-35,33.0,35.0,1460.0,1570.0
California Institute of Technology,8367,6.4,​​ 1530-1560,35-36,35.0,36.0,1530.0,1560.0
Massachusetts Institute of Technology,21706,6.7,​​ 1500-1570,34-36,34.0,36.0,1500.0,1570.0
Brown University,38674,7.1,​​ 1440-1570,33-35,33.0,35.0,1440.0,1570.0
University of Chicago,32283,7.3,​​ 1490-1570,33-35,33.0,35.0,1490.0,1570.0
Pomona College,10401,7.4,1390-1540,32-35,32.0,35.0,1390.0,1540.0
University of Pennsylvania,44961,7.7,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Dartmouth College,23650,7.9,1440-1560,32-35,32.0,35.0,1440.0,1560.0
Bowdoin College,9332,8.8,1330-1520,31-34,31.0,34.0,1330.0,1520.0
Duke University,35767,8.9,1450-1570,33-35,33.0,35.0,1450.0,1570.0
Swarthmore College,11442,8.9,1380-1540,31-35,31.0,35.0,1380.0,1540.0
Northwestern University,40585,9.1,1440-1550,33-35,33.0,35.0,1440.0,1550.0
Vanderbilt University,37310,9.1,1460-1560,33-35,33.0,35.0,1460.0,1560.0
Claremont McKenna College,6066,10.3,1360-1510,31-34,31.0,34.0,1360.0,1510.0
Johns Hopkins University,29129,10.6,1470-1560,33-35,33.0,35.0,1470.0,1560.0
Cornell University,49114,10.9,1400-1560,32-35,32.0,35.0,1400.0,1560.0
Rice University,20923,11.1,1450-1560,33-35,33.0,35.0,1450.0,1560.0
Amherst College,10569,11.3,1410-1550,31-34,31.0,34.0,1410.0,1550.0
Barnard College,9320,11.8,1340-1520,31-34,31.0,34.0,1340.0,1520.0
Bates College,8222,12.1,1270-1480,29-33,29.0,33.0,1270.0,1480.0
University of California—​Los Angeles,111322,12.3,1290-1510,27-34,27.0,34.0,1290.0,1510.0
Tulane University,42185,12.9,1360-1520,31-33,31.0,33.0,1360.0,1520.0
University of Southern California,64352,13.0,1350-1530,30-34,30.0,34.0,1350.0,1530.0
Williams College,9560,13.0,1410-1550,32-35,32.0,35.0,1410.0,1550.0
Colby College,12313,13.0,1350-1510,31-33,31.0,33.0,1350.0,1510.0
Pitzer College,4358,13.3,1340-1490,30-33,30.0,33.0,1340.0,1490.0
Colorado College,9456,13.5,1300-1480,29-33,29.0,33.0,1300.0,1480.0
Harvey Mudd College,4045,13.7,1490-1570,33-35,33.0,35.0,1490.0,1570.0
Georgetown University,22872,14.5,1370-1530,31-34,31.0,34.0,1370.0,1530.0
University of California—​Berkeley,89621,14.8,1300-1530,28-34,28.0,34.0,1300.0,1530.0
Tufts University,22766,15.0,1390-1540,32-34,32.0,34.0,1390.0,1540.0
Washington University in St. Louis,31320,15.0,1470-1570,32-35,32.0,35.0,1470.0,1570.0
Middlebury College,9754,15.4,1360-1530,32-34,32.0,34.0,1360.0,1530.0
Carnegie Mellon University,27634,15.4,1460-1560,33-35,33.0,35.0,1460.0,1560.0
University of Notre Dame,22200,15.8,1400-1550,32-35,32.0,35.0,1400.0,1550.0
The Cooper Union,2447,16.0,1283-1510,31-34,31.0,34.0,1283.0,1510.0
New York University,79462,16.2,1370-1510,30-34,30.0,34.0,1370.0,1510.0
Haverford College,4963,16.3,1380-1540,32-34,32.0,34.0,1380.0,1540.0
Wesleyan University,13264,16.5,1320-1510,31-34,31.0,34.0,1320.0,1510.0
Hamilton College,8279,16.5,1370-1520,32-34,32.0,34.0,1370.0,1520.0
Northeastern University,62263,18.1,1390-1540,32-35,32.0,35.0,1390.0,1540.0
Davidson College,5982,18.1,1310-1485,30-33,30.0,33.0,1310.0,1485.0
Emory University,27559,18.5,1350-1520,31-34,31.0,34.0,1350.0,1520.0
Carleton College,7382,19.0,1360-1540,31-34,31.0,34.0,1360.0,1540.0
Georgia Institute of Technology,36856,20.6,1300-1510,29-34,29.0,34.0,1300.0,1510.0
Washington and Lee University,5855,21.2,1348-1490,31-34,31.0,34.0,1348.0,1490.0
Wellesley College,6395,21.6,1360-1530,31-34,31.0,34.0,1360.0,1530.0
Boston University,64481,22.1,1330-1500,30-33,30.0,33.0,1330.0,1500.0
Colgate University,9951,22.6,1330-1500,31-34,31.0,34.0,1330.0,1500.0
University of North Carolina—​Chapel Hill,42466,22.6,1300-1490,27-33,27.0,33.0,1300.0,1490.0
University of Michigan—​Ann Arbor,64972,22.9,1340-1530,31-34,31.0,34.0,1340.0,1530.0
Vassar College,8961,23.7,1370-1530,31-34,31.0,34.0,1370.0,1530.0
Rhode Island School of Design,3913,23.9,1180-1440,26-32,26.0,32.0,1180.0,1440.0
University of Virginia,40839,23.9,1340-1500,30-34,30.0,34.0,1340.0,1500.0
Grinnell College,7349,24.4,1370-1530,30-34,30.0,34.0,1370.0,1530.0
Babson College,6362,24.0,1270-1450,28-32,28.0,32.0,1270.0,1450.0
University of California—​Irvine,95568,26.5,1180-1440,--,0.0,0.0,1180.0,1440.0
University of Miami,38919,27.1,1280-1420,29-32,29.0,32.0,1280.0,1420.0
Boston College,35552,27.2,1370-1490,31-34,31.0,34.0,1370.0,1490.0
Villanova University,22909,28.2,1320-1470,31-34,31.0,34.0,1320.0,1470.0
University of Richmond,12356,28.3,1290-1460,30-33,30.0,33.0,1290.0,1460.0
California State Polytechnic University—​San Luis Obispo,54072,28.4,1250-1420,26-32,26.0,32.0,1250.0,1420.0
Trinity University,9864,28.8,1290-1450,29-32,29.0,32.0,1290.0,1450.0
Case Western Reserve University,26642,29.3,1350-1520,30-34,30.0,34.0,1350.0,1520.0
University of Rochester,20216,29.5,1300-1500,29-33,29.0,33.0,1300.0,1500.0
University of California—​Santa Barbara,93457,29.6,1260-1460,25-33,25.0,33.0,1260.0,1460.0
Wake Forest University,12559,29.6,1320-1490,30-33,30.0,33.0,1320.0,1490.0
Skidmore College,11102,30.0,1220-1400,28-32,28.0,32.0,1220.0,1400.0
University of California—​San Diego,97901,30.2,1250-1470,26-33,26.0,33.0,1250.0,1470.0
Franklin and Marshall College,9502,30.4,1250-1460,28-32,28.0,32.0,1250.0,1460.0
Brandeis University,11798,31.1,1280-1500,29-33,29.0,33.0,1280.0,1500.0
Lafayette College,8521,31.5,1250-1440,28-33,28.0,33.0,1250.0,1440.0
American University,18984,31.5,1220-1380,27-31,27.0,31.0,1220.0,1380.0
University of Texas—​Austin,53525,31.8,1240-1470,27-33,27.0,33.0,1240.0,1470.0
Scripps College,3022,32.0,1333-1490,30-33,30.0,33.0,1333.0,1490.0
Lehigh University,15649,32.1,1280-1450,29-33,29.0,33.0,1280.0,1450.0
Macalester College,6598,32.3,1320-1510,29-33,29.0,33.0,1320.0,1510.0
Smith College,5597,32.5,1340-1520,30-33,30.0,33.0,1340.0,1520.0
Bryn Mawr College,3332,33.1,1290-1510,29-33,29.0,33.0,1290.0,1510.0
Trinity College (Hartford),6096,33.5,1300-1460,29-32,29.0,32.0,1300.0,1460.0
Denison University,8042,33.9,1210-1380,28-31,28.0,31.0,1210.0,1380.0
San Diego State University,69842,34.0,1110-1320,22-29,22.0,29.0,1110.0,1320.0
Kenyon College,6662,34.1,1270-1460,29-33,29.0,33.0,1270.0,1460.0
College of the Holy Cross,7200,34.2,1260-1430,28-32,28.0,32.0,1260.0,1430.0
Bucknell University,9845,34.2,1255-1430,28-32,28.0,32.0,1255.0,1430.0
Emerson College,12941,35.6,1200-1390,27-31,27.0,31.0,1200.0,1390.0
Pepperdine University,11265,35.7,1220-1420,26-32,26.0,32.0,1220.0,1420.0
Hampton University,13028,36.0,1040-1310,19-24,19.0,24.0,1040.0,1310.0
Oberlin College,7708,36.4,1280-1480,29-33,29.0,33.0,1280.0,1480.0
CUNY--Hunter,31030,36.4,1090-1260,--,0.0,0.0,1090.0,1260.0
Occidental College,7501,36.7,1300-1480,28-32,28.0,32.0,1300.0,1480.0
Connecticut College,6784,37.4,1310-1450,30-33,30.0,33.0,1310.0,1450.0
College of William and Mary,14680,37.7,1320-1510,30-34,30.0,34.0,1320.0,1510.0
Mount Holyoke College,3908,38.2,1270-1490,27-32,27.0,32.0,1270.0,1490.0
Berea College,1576,38.2,1030-1213,22-27,22.0,27.0,1030.0,1213.0
Pratt Institute,7941,38.5,1100-1320,26-30,26.0,30.0,1100.0,1320.0
Soka University of America,464,38.8,1180-1410,27-30,27.0,30.0,1180.0,1410.0
California State University--Los Angeles,39854,39.0,890-1080,15-20,15.0,20.0,890.0,1080.0
California State University--Long Beach,71297,39.3,1040-1250,20-26,20.0,26.0,1040.0,1250.0
Reed College,5815,39.5,1325-1520,30-34,30.0,34.0,1325.0,1520.0
Binghamton University—​SUNY,38755,39.8,1310-1440,28-32,28.0,32.0,1310.0,1440.0
Dickinson College,6426,40.1,1240-1410,28-32,28.0,32.0,1240.0,1410.0
University of Tulsa,8526,40.8,1180-1410,25-32,25.0,32.0,1180.0,1410.0
George Washington University,26968,40.9,1280-1470,29-33,29.0,33.0,1280.0,1470.0
University of California—​Davis,76647,41.2,1150-1410,25-31,25.0,31.0,1150.0,1410.0
Stevens Institute of Technology,9265,41.4,1330-1480,30-33,30.0,33.0,1330.0,1480.0
St. Lawrence University,6998,42.4,1160-1350,24-30,24.0,30.0,1160.0,1350.0
Union College (Schenectady NY),6086,42.9,1220-1420,27-32,27.0,32.0,1220.0,1420.0
Rensselaer Polytechnic Institute,20402,43.0,1330-1500,29-33,29.0,33.0,1330.0,1500.0
Bentley University,9252,43.2,1240-1410,28-32,28.0,32.0,1240.0,1410.0
CUNY--Baruch College,20303,43.4,1130-1330,--,0.0,0.0,1130.0,1330.0
Spelman College,9106,43.4,1080-1230,22-26,22.0,26.0,1080.0,1230.0
Loyola Marymount University,18592,43.8,1230-1410,27-31,27.0,31.0,1230.0,1410.0
University of Maryland—​College Park,32987,44.1,1280-1480,29-33,29.0,33.0,1280.0,1480.0
Stony Brook University—​SUNY,37079,44.1,1230-1440,26-32,26.0,32.0,1230.0,1440.0
Rhodes College,5207,44.7,1220-1430,27-32,27.0,32.0,1220.0,1430.0
North Carolina State University—​Raleigh,30995,44.9,1250-1390,27-31,27.0,31.0,1250.0,1390.0
Baylor University,34582,45.3,1200-1380,26-32,26.0,32.0,1200.0,1380.0
University of Dallas,4676,45.3,1150-1360,24-30,24.0,30.0,1150.0,1360.0
Gettysburg College,6269,45.4,1270-1420,26-30,26.0,30.0,1270.0,1420.0
Fordham University,46308,46.0,1250-1430,28-32,28.0,32.0,1250.0,1430.0
Texas Christian University,19028,47.1,1150-1350,25-31,25.0,31.0,1150.0,1350.0
Southern Methodist University,13959,47.3,1300-1480,29-33,29.0,33.0,1300.0,1480.0
Providence College,11478,47.5,1210-1350,27-31,27.0,31.0,1210.0,1350.0
St. Olaf College,5694,47.5,1190-1430,26-32,26.0,32.0,1190.0,1430.0
University of New Mexico,12281,48.6,1040-1270,19-25,19.0,25.0,1040.0,1270.0
University of Georgia,26027,48.6,1240-1410,27-32,27.0,32.0,1240.0,1410.0
University of San Diego,13755,48.7,1200-1350,26-31,26.0,31.0,1200.0,1350.0
University of Connecticut,34886,48.8,1210-1420,26-31,26.0,31.0,1210.0,1420.0
Santa Clara University,16300,48.8,1280-1440,28-32,28.0,32.0,1280.0,1440.0
Southwestern University,4766,49.0,1140-1320,23-29,23.0,29.0,1140.0,1320.0
Pennsylvania State University—​University Park,71903,49.1,1160-1370,25-30,25.0,30.0,1160.0,1370.0
Marist College,11260,49.2,1210-1360,26-31,26.0,31.0,1210.0,1360.0
The College of New Jersey,13824,49.3,1160-1360,25-30,25.0,30.0,1160.0,1360.0
Worcester Polytechnic Institute,10645,49.4,1310-1470,29-33,29.0,33.0,1310.0,1470.0
Syracuse University,34981,49.9,1180-1370,25-30,25.0,30.0,1180.0,1370.0
University of La Verne,7276,50.9,1020-1205,20-26,20.0,26.0,1020.0,1205.0
Clemson University,29070,51.3,1230-1400,27-32,27.0,32.0,1230.0,1400.0
Austin College,4360,51.3,1110-1290,24-29,24.0,29.0,1110.0,1290.0
University of California—​Santa Cruz,55906,51.5,1200-1360,24-30,24.0,30.0,1200.0,1360.0
University of Washington--Seattle,45579,51.8,1240-1440,27-33,27.0,33.0,1240.0,1440.0
California State University--Fullerton,50105,52.7,1030-1200,19-24,19.0,24.0,1030.0,1200.0
University of Wisconsin—​Madison,43921,53.0,1330-1450,27-32,27.0,32.0,1330.0,1450.0
Colorado School of Mines,11756,53.1,1260-1460,27-33,27.0,33.0,1260.0,1460.0
Chapman University,14198,53.6,1190-1370,25-30,25.0,30.0,1190.0,1370.0
Ohio State University—​Columbus,47703,53.7,1250-1460,28-32,28.0,32.0,1250.0,1460.0
Texas Lutheran University,2198,54.3,990-1160,19-25,19.0,25.0,990.0,1160.0
University at Albany—​SUNY,27529,54.3,1090-1250,22-28,22.0,28.0,1090.0,1250.0
Georgia Southern,13858,54.5,1050-1200,20-25,20.0,25.0,1050.0,1200.0
College of Wooster,6352,54.7,1150-1380,24-31,24.0,31.0,1150.0,1380.0
San Jose State University,36243,54.7,1040-1260,19-26,19.0,26.0,1040.0,1260.0
California State Polytechnic University--Pomona,36660,55.5,1030-1250,19-27,19.0,27.0,1030.0,1250.0
Whitman College,4832,55.8,1240-1450,28-33,28.0,33.0,1240.0,1450.0
Sarah Lawrence College,3325,55.8,1240-1420,27-32,27.0,32.0,1240.0,1420.0
New School,9911,56.6,1150-1360,24-30,24.0,30.0,1150.0,1360.0
University of Pittsburgh,32091,56.7,1260-1440,28-33,28.0,33.0,1260.0,1440.0
University of California Riverside,49788,56.7,1130-1340,24-30,24.0,30.0,1130.0,1340.0
University of Minnesota—​Twin Cities,40673,56.7,1260-1480,26-31,26.0,31.0,1260.0,1480.0
Hobart and William Smith Colleges,4526,56.9,1203-1360,27-30,27.0,30.0,1203.0,1360.0
Abilene Christian University,11569,57.0,1040-1230,21-27,21.0,27.0,1040.0,1230.0
Bennington College,1494,57.0,1230-1390,28-32,28.0,32.0,1230.0,1390.0
Birmingham-​Southern College,3628,57.0,1040-1250,22-28,22.0,28.0,1040.0,1250.0
Fairfield University,12315,57.1,1210-1350,26-30,26.0,30.0,1210.0,1350.0
Georgia State,19838,57.4,990-1190,21-26,21.0,26.0,990.0,1190.0
Texas A&M University—​College Station,42899,57.5,1160-1390,26-31,26.0,31.0,1160.0,1390.0
Saint Louis University,15120,57.5,1180-1370,25-31,25.0,31.0,1180.0,1370.0
St. John's College Annapolis,913,57.6,1210-1450,24-33,24.0,33.0,1210.0,1450.0
Lake Forest College,4147,57.9,1110-1310,23-29,23.0,29.0,1110.0,1310.0
Kennesaw State University,13427,57.9,1080-1270,21-26,21.0,26.0,1080.0,1270.0
California State University--Fresno,18122,57.9,950-1130,16-22,16.0,22.0,950.0,1130.0
Rollins College,6167,58.3,1160-1340,24-30,24.0,30.0,1160.0,1340.0
University of Hawaii at Manoa,16244,58.4,1070-1270,21-26,21.0,26.0,1070.0,1270.0
University of Denver,21028,58.7,1170-1350,26-31,26.0,31.0,1170.0,1350.0
Hampden-​Sydney College,3240,59.0,1050-1250,21-27,21.0,27.0,1050.0,1250.0
University of Illinois—​Urbana-​Champaign,43509,59.0,1220-1480,27-33,27.0,33.0,1220.0,1480.0
Millsaps College,4161,59.3,1080-1260,22-28,22.0,28.0,1080.0,1260.0
California State University--Northridge,30637,59.3,910-1130,16-22,16.0,22.0,910.0,1130.0
Clark University,7687,59.4,1200-1390,28-31,28.0,31.0,1200.0,1390.0
Lipscomb University,3638,59.5,1060-1320,22-29,22.0,29.0,1060.0,1320.0
Virginia Military Institute,1515,59.5,1090-1270,21-28,21.0,28.0,1090.0,1270.0
Purdue University—​West Lafayette,54912,59.8,1190-1440,25-32,25.0,32.0,1190.0,1440.0
Temple University,35599,60.0,1120-1320,24-30,24.0,30.0,1120.0,1320.0
Rutgers The State University of New Jersey—​New Brunswick,41348,60.1,1190-1410,25-31,25.0,31.0,1190.0,1410.0
Illinois Institute of Technology,5049,60.2,1190-1400,26-32,26.0,32.0,1190.0,1400.0
Yeshiva University,1508,60.3,1140-1400,22-30,22.0,30.0,1140.0,1400.0
Illinois Wesleyan University,3719,60.8,1120-1320,24-29,24.0,29.0,1120.0,1320.0
Furman University,5469,61.1,1230-1410,28-32,28.0,32.0,1230.0,1410.0
University at Buffalo—​SUNY,29900,61.1,1160-1340,24-29,24.0,29.0,1160.0,1340.0
Concordia College—​Moorhead,4160,61.2,1080-1368,21-27,21.0,27.0,1080.0,1368.0
SUNY College of Environmental Science and Forestry,2018,61.4,1120-1310,23-29,23.0,29.0,1120.0,1310.0
University of Portland,14505,61.5,1160-1330,23-29,23.0,29.0,1160.0,1330.0
Cornell College,3118,61.8,1100-1345,23-29,23.0,29.0,1100.0,1345.0
Muhlenberg College,4146,61.8,1170-1360,26-30,26.0,30.0,1170.0,1360.0
Gonzaga University,9279,61.9,1210-1358,25-30,25.0,30.0,1210.0,1358.0
Beloit College,3657,62.0,1080-1380,24-30,24.0,30.0,1080.0,1380.0
Lawrence University,3463,62.1,1200-1430,25-32,25.0,32.0,1200.0,1430.0
University of Utah,24404,62.1,1142.5-1380,22-29,22.0,29.0,1142.5,1380.0
Allegheny College,5208,62.2,1170-1360,24-30,24.0,30.0,1170.0,1360.0
University of Delaware,27691,62.4,1170-1350,25-30,25.0,30.0,1170.0,1350.0
Westmont College,2937,62.4,1110-1370,23-30,23.0,30.0,1110.0,1370.0
Luther College,4422,62.6,1050-1310,23-29,23.0,29.0,1050.0,1310.0
Rutgers The State University of New Jersey—​Newark,13259,62.7,1020-1190,19-24,19.0,24.0,1020.0,1190.0
